comuna,region_id,region_nombre,fuente,numero,fecha,titulo,materia,url,source_listing_url,sha256,rdf_url
Concepción,08,Biobío,BCN,3,2009-08-27,"MODIFICA ORDENANZA Nº 2, DE 20 DE OCTUBRE DE 1994, SOBRE PLAYAS DE ESTACIONAMIENTO",Tránsito y Transporte,https://www.bcn.cl/leychile/navegar?idNorma=1005471,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2009-08-27/3/datos.json
Concepción,08,Biobío,BCN,1,2009-03-12,"ORDENANZA PARA LA INSTALACIÓN DE ANTENAS, PARÁBOLAS, RADARES Y TORRES PARA CUALQUIER TIPO DE TELECOMUNICACIONES","Urbanismo, Obras y Edificación",https://www.bcn.cl/leychile/navegar?idNorma=287996,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2009-03-12/1/datos.json
Concepción,08,Biobío,BCN,4,2008-12-26,ORDENANZA MUNICIPAL QUE FIJA MONTO DE DERECHOS POR EXTRACCIÓN DE BASURAS Y ADICIONAL DE BASURAS PARA AÑO 2009,Derechos Municipales y Tarifas,https://www.bcn.cl/leychile/navegar?idNorma=283966,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2008-12-26/4/datos.json
Concepción,08,Biobío,BCN,3,2008-06-27,"MODIFICA ORDENANZA MUNICIPAL Nº 9, DE 2004, SOBRE OTORGAMIENTO DE PATENTES DE ALCOHOLES Y FUNCIONAMIENTO DE ESTABLECIMIENTOS DE EXPENDIO DE BEBIDAS ALCOHÓLICAS","Comercio, Alcoholes y Patentes",https://www.bcn.cl/leychile/navegar?idNorma=272934,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2008-06-27/3/datos.json
Concepción,08,Biobío,BCN,1,2008-01-23,ORDENANZA SOBRE FUNCIONAMIENTO DE CAFÉ-ESPECTÁCULO,"Comercio, Alcoholes y Patentes",https://www.bcn.cl/leychile/navegar?idNorma=268801,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2008-01-23/1/datos.json
Concepción,08,Biobío,BCN,2,2008-01-23,ORDENANZA SOBRE ESPECTÁCULOS PÚBLICOS,"Comercio, Alcoholes y Patentes",https://www.bcn.cl/leychile/navegar?idNorma=268802,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2008-01-23/2/datos.json
Concepción,08,Biobío,BCN,5,2008-01-23,ORDENANZA SOBRE COMERCIO EN BIENES NACIONALES DE USO PÚBLICO,"Comercio, Alcoholes y Patentes",https://www.bcn.cl/leychile/navegar?idNorma=268803,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2008-01-23/5/datos.json
Concepción,08,Biobío,BCN,1,2005-03-30,MODIFICA ORDENANZA SOBRE OTORGAMIENTO DE PATENTES DE ALCOHOLES Y FUNCIONAMIENTO DE ESTABLECIMIENTOS DE EXPENDIO DE BEBIDAS ALCOHOLICAS,"Comercio, Alcoholes y Patentes",https://www.bcn.cl/leychile/navegar?idNorma=236674,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2005-03-30/1/datos.json
Concepción,08,Biobío,BCN,11,2004-12-31,"MODIFICA ORDENANZA LOCAL Nº5, DE 2002, SOBRE DERECHOS MUNICIPALES POR CONCESIONES, PERMISOS Y SERVICIOS",Derechos Municipales y Tarifas,https://www.bcn.cl/leychile/navegar?idNorma=234338,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2004-12-31/11/datos.json
Concepción,08,Biobío,BCN,3,2004-12-31,"MODIFICA ORDENANZA NUMERO 4, DE 1996",Normativa General y Otras Materias,https://www.bcn.cl/leychile/navegar?idNorma=234336,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2004-12-31/3/datos.json
